filename,HBcount,HBless1SD,HBless1.1SD,HBless1.5SD,dehydronCount,totalAtomsInPDB,totalAtomsInHBDD,totalUniqueAtomsInDDD,totalUniqueAtomsInHBDD
1URD_A.pdb,241,38.23465,32.776,16.147,11,5633,47768,1408,5581
1WO8_A.pdb,86,13.6439,11.696,5.762,10,1925,16684,1457,1885
2FY6_A.pdb,85,13.48525,11.56,5.695,8,2222,16107,1046,2198
1QH5_A.pdb,153,24.27345,20.808,10.251,9,4036,30788,1223,3930
1QP2_A.pdb,24,3.8076,3.264,1.608,0,1502,6168,0,1161
1T2B_A.pdb,238,37.7587,32.368,15.946,9,6236,48940,1337,6165
2D5B_A.pdb,334,52.9891,45.424,22.378,9,8150,69609,1217,7988
2IC7_A.pdb,110,17.4515,14.96,7.37,8,2889,21993,1218,2846
1PL8_A.pdb,212,33.6338,28.832,14.204,13,5402,44205,1881,5229
1WXX_A.pdb,230,36.4895,31.28,15.41,9,6036,46512,1293,5898
2EHG_A.pdb,98,15.5477,13.328,6.566,0,2423,20651,0,2373
2E5F_A.pdb,212,33.6338,28.832,14.204,4,5245,45608,523,5145
1VOQ_G.pdb,71,11.26415,9.656,4.757,4,2551,12505,500,2043
1U9D_A.pdb,0,0.0,0.0,0.0,0,1890,0,0,0
1YG6_A.pdb,120,19.038,16.32,8.04,5,3023,23215,694,2820
1UCS_A.pdb,32,5.0768,4.352,2.144,0,1356,8514,0,1291
1YXL_A.pdb,68,10.7882,9.248,4.556,12,1728,12458,1574,1711
2ASW_A.pdb,44,6.9806,5.984,2.948,7,1179,10689,1172,1174
2FYL_A.pdb,55,8.72575,7.48,3.685,1,1849,12842,136,1780
1VOQ_C.pdb,82,13.0093,11.152,5.494,7,3286,14296,879,2832
1RH4_A.pdb,25,3.96625,3.4,1.675,4,524,3785,462,524
2BYC_A.pdb,2,0.3173,0.272,0.134,0,2204,417,0,243
2AHN_A.pdb,104,16.4996,14.144,6.968,16,3133,19696,2123,3103
2GMK_A.pdb,58,9.2017,7.888,3.886,4,1633,10770,521,1614
2H3H_A.pdb,201,31.88865,27.336,13.467,5,4785,41898,633,4669
1U5D_A.pdb,59,9.36035,8.024,3.953,5,1777,11734,711,1665
2CXN_A.pdb,352,55.8448,47.872,23.584,22,8793,70546,3260,8705
2A3D_A.pdb,37,5.87005,5.032,2.479,6,1513,7850,972,1491
2D16_A.pdb,96,15.2304,13.056,6.432,3,2527,18662,371,2413
2A7U_A.pdb,13,2.06245,1.768,0.871,3,496,2702,499,469
1R8H_A.pdb,51,8.09115,6.936,3.417,3,1431,9458,368,1386
1SUY_C.pdb,9,1.42785,1.224,0.603,8,682,1220,1060,529
2BO1_A.pdb,59,9.36035,8.024,3.953,4,1588,11627,539,1516
2C0H_A.pdb,204,32.3646,27.744,13.668,15,5381,41974,2242,5334
