filename,HBcount,HBless1SD,HBless1.1SD,HBless1.5SD,dehydronCount,totalAtomsInPDB,totalAtomsInHBDD,totalUniqueAtomsInDDD,totalUniqueAtomsInHBDD
1URD_A.pdb,241,38.23465,32.776,16.147,3,5633,55244,346,5594
1WO8_A.pdb,86,13.6439,11.696,5.762,3,1925,19118,431,1896
2FY6_A.pdb,85,13.48525,11.56,5.695,2,2222,18502,257,2208
1QH5_A.pdb,153,24.27345,20.808,10.251,4,4036,35665,572,3960
1QP2_A.pdb,24,3.8076,3.264,1.608,0,1502,6988,0,1190
1T2B_A.pdb,238,37.7587,32.368,15.946,1,6236,56781,177,6187
2D5B_A.pdb,334,52.9891,45.424,22.378,3,8150,80903,370,8043
2IC7_A.pdb,110,17.4515,14.96,7.37,4,2889,25300,576,2859
1PL8_A.pdb,212,33.6338,28.832,14.204,6,5402,51424,922,5262
1WXX_A.pdb,230,36.4895,31.28,15.41,3,6036,53963,431,5954
2EHG_A.pdb,98,15.5477,13.328,6.566,0,2423,23886,0,2395
2E5F_A.pdb,212,33.6338,28.832,14.204,1,5245,53432,180,5179
1VOQ_G.pdb,71,11.26415,9.656,4.757,3,2551,14302,421,2096
1U9D_A.pdb,0,0.0,0.0,0.0,0,1890,0,0,0
1YG6_A.pdb,120,19.038,16.32,8.04,2,3023,26646,218,2862
1UCS_A.pdb,32,5.0768,4.352,2.144,0,1356,9675,0,1307
1YXL_A.pdb,68,10.7882,9.248,4.556,6,1728,14377,825,1722
2ASW_A.pdb,44,6.9806,5.984,2.948,5,1179,12041,865,1178
2FYL_A.pdb,55,8.72575,7.48,3.685,1,1849,14611,142,1796
1VOQ_C.pdb,82,13.0093,11.152,5.494,3,3286,16292,405,2906
1RH4_A.pdb,25,3.96625,3.4,1.675,3,524,4115,351,524
2BYC_A.pdb,2,0.3173,0.272,0.134,0,2204,482,0,276
2AHN_A.pdb,104,16.4996,14.144,6.968,10,3133,22810,1423,3119
2GMK_A.pdb,58,9.2017,7.888,3.886,2,1633,12329,274,1623
2H3H_A.pdb,201,31.88865,27.336,13.467,4,4785,48655,530,4684
1U5D_A.pdb,59,9.36035,8.024,3.953,2,1777,13494,306,1688
2CXN_A.pdb,352,55.8448,47.872,23.584,5,8793,82002,743,8747
2A3D_A.pdb,37,5.87005,5.032,2.479,2,1513,9083,353,1505
2D16_A.pdb,96,15.2304,13.056,6.432,1,2527,21372,131,2436
2A7U_A.pdb,13,2.06245,1.768,0.871,2,496,2994,375,479
1R8H_A.pdb,51,8.09115,6.936,3.417,3,1431,10745,399,1399
1SUY_C.pdb,9,1.42785,1.224,0.603,7,682,1352,992,551
2BO1_A.pdb,59,9.36035,8.024,3.953,1,1588,13332,145,1535
2C0H_A.pdb,204,32.3646,27.744,13.668,6,5381,49152,975,5358
2EYX_A.pdb,30,4.7595,4.08,2.01,4,1418,8123,653,1376
2C83_A.pdb,220,34.903,29.92,14.74,4,6246,51352,616,6166
1ZUD_4.pdb,34,5.3941,4.624,2.278,0,1015,6902,0,996
2BEM_A.pdb,88,13.9612,11.968,5.896,5,2580,19977,787,2551
2AIB_A.pdb,59,9.36035,8.024,3.953,7,1427,11542,1068,1426
1Y2T_A.pdb,80,12.692,10.88,5.36,0,2223,18297,0,2179
1R77_B.pdb,52,8.2498,7.072,3.484,3,1648,11387,391,1637
2GWM_A.pdb,115,18.24475,15.64,7.705,3,3180,26362,434,3107
2A6Z_A.pdb,110,17.4515,14.96,7.37,4,3427,26328,663,3342
1WUI_L.pdb,340,53.941,46.24,22.78,1,8266,81865,151,8226
2I0S_A.pdb,192,30.4608,26.112,12.864,7,5533,45791,968,5393
2D7C_A.pdb,103,16.34095,14.008,6.901,2,2630,23645,311,2600
1UGH_I.pdb,47,7.45655,6.392,3.149,4,1286,10144,556,1250
2DC1_A.pdb,148,23.4802,20.128,9.916,3,3744,33999,463,3689
2FFK_A.pdb,96,15.2304,13.056,6.432,11,4668,27543,1989,4267
2CX7_B.pdb,84,13.3266,11.424,5.628,2,1948,18263,265,1931
2F7D_A.pdb,139,22.05235,18.904,9.313,21,3246,30404,2807,3170
2DS0_A.pdb,62,9.8363,8.432,4.154,0,2018,14715,0,1948
1QL0_A.pdb,113,17.92745,15.368,7.571,6,3657,26599,891,3546
