filename,HBcount,HBless1SD,HBless1.1SD,HBless1.5SD,dehydronCount,totalAtomsInPDB,totalAtomsInHBDD,totalUniqueAtomsInDDD,totalUniqueAtomsInHBDD
2Z3V_A.pdb,85,13.48525,11.56,5.695,21,2099,14016,2895,2045
2ONQ_A.pdb,35,5.55275,4.76,2.345,5,875,5357,594,864
3DP5_A.pdb,7,1.11055,0.952,0.469,1,1425,1165,143,628
1KFW_A.pdb,243,38.55195,33.048,16.281,49,6401,41601,6578,6271
1B8A_A.pdb,261,41.40765,35.496,17.487,25,7164,44986,3246,6840
1AYO_A.pdb,67,10.62955,9.112,4.489,7,2035,10848,859,1922
1ESW_A.pdb,309,49.02285,42.024,20.703,42,7974,53084,5428,7717
1F2R_C.pdb,37,5.87005,5.032,2.479,6,1762,7859,976,1546
1L6W_A.pdb,150,23.7975,20.4,10.05,30,3286,24705,3725,3214
1GUI_A.pdb,81,12.85065,11.016,5.427,10,2389,13384,1407,2343
1BHP_A.pdb,22,3.4903,2.992,1.474,11,685,3144,1405,625
2V8T_A.pdb,178,28.2397,24.208,11.926,27,4661,30278,3342,4418
1E6Y_E.pdb,272,43.1528,36.992,18.224,44,6341,47488,6059,6194
1G10_A.pdb,50,7.9325,6.8,3.35,13,2122,9497,2080,1834
1AJS_A.pdb,246,39.0279,33.456,16.482,39,6492,41919,5254,6306
1EDG_A.pdb,203,32.20595,27.608,13.601,30,5930,34925,3902,5613
1HTW_A.pdb,92,14.5958,12.512,6.164,6,2510,15599,765,2427
2ZCF_B.pdb,105,16.65825,14.28,7.035,23,3220,16791,2681,2988
1I5G_A.pdb,79,12.53335,10.744,5.293,11,2265,13188,1383,2211
3GD8_A.pdb,147,23.32155,19.992,9.849,11,3340,26289,1492,3253
1G6X_A.pdb,23,3.64895,3.128,1.541,3,888,3424,372,786
3EPV_A.pdb,80,12.692,10.88,5.36,29,1713,12037,3739,1704
1K5N_A.pdb,166,26.3359,22.576,11.122,34,4355,27116,4589,4218
1G9J_A.pdb,344,54.5756,46.784,23.048,47,9659,60132,6349,9468
1NPI_A.pdb,28,4.4422,3.808,1.876,13,926,4040,1671,891
1MJN_A.pdb,105,16.65825,14.28,7.035,15,2865,18376,2009,2812
1G85_A.pdb,86,13.6439,11.696,5.762,21,2544,13299,2768,2200
256B_A.pdb,79,12.53335,10.744,5.293,26,1650,12719,3564,1643
1KOY_A.pdb,41,6.50465,5.576,2.747,12,1332,8189,2042,1299
3BO6_A.pdb,120,19.038,16.32,8.04,32,3405,19850,4253,3251
2PWA_A.pdb,157,24.90805,21.352,10.519,25,3961,28200,3349,3825
2Z2F_A.pdb,74,11.7401,10.064,4.958,19,1966,12051,2554,1931
1EE8_A.pdb,148,23.4802,20.128,9.916,19,4232,25747,2655,4140
3F4W_A.pdb,142,22.5283,19.312,9.514,22,3234,24532,2864,3178
1E9K_A.pdb,11,1.74515,1.496,0.737,1,830,2253,146,621
1MB4_A.pdb,209,33.15785,28.424,14.003,35,5675,35095,4525,5562
1G9H_A.pdb,232,36.8068,31.552,15.544,56,6615,39407,7767,6495
2PLX_B.pdb,16,2.5384,2.176,1.072,7,419,2166,831,406
2YWO_A.pdb,89,14.11985,12.104,5.963,12,2944,14769,1549,2804
1N7S_B.pdb,59,9.36035,8.024,3.953,20,1078,8438,2691,1066
1EAX_A.pdb,171,27.12915,23.256,11.457,35,3638,26586,4115,3555
2JG6_A.pdb,118,18.7207,16.048,7.906,13,2987,19673,1681,2918
3C7F_A.pdb,231,36.64815,31.416,15.477,30,7114,39865,3996,6897
3FF5_A.pdb,38,6.0287,5.168,2.546,10,870,5795,1195,853
1BOR_A.pdb,11,1.74515,1.496,0.737,2,831,1739,263,628
2NN8_A.pdb,82,13.0093,11.152,5.494,4,2224,13909,454,2173
1BGF_A.pdb,74,11.7401,10.064,4.958,9,2046,12231,1129,1953
1H0H_B.pdb,97,15.38905,13.192,6.499,28,3236,15550,3707,2991
3BZY_B.pdb,46,7.2979,6.256,3.082,3,1354,6953,371,1282
2RCT_A.pdb,5,0.79325,0.68,0.335,0,2290,831,0,363
2VAY_B.pdb,19,3.01435,2.584,1.273,2,388,2771,200,386
1K63_A.pdb,167,26.49455,22.712,11.189,16,4584,29090,2186,4461
2W8B_B.pdb,208,32.9992,28.288,13.936,33,6061,36064,4271,5803
2PBR_A.pdb,136,21.5764,18.496,9.112,11,3230,23633,1403,3177
1NYJ_A.pdb,20,3.173,2.72,1.34,7,405,2723,847,399
1DHN_A.pdb,66,10.4709,8.976,4.422,13,1928,10690,1550,1848
3EUO_A.pdb,225,35.69625,30.6,15.075,36,5702,38854,5072,5578
2PSP_A.pdb,39,6.18735,5.304,2.613,15,1598,5717,1818,1520
1CZP_A.pdb,51,8.09115,6.936,3.417,10,1445,8301,1204,1382
2PI6_A.pdb,211,33.47515,28.696,14.137,34,5680,37205,4594,5470
1HJ0_A.pdb,40,6.346,5.44,2.68,23,902,6870,3682,891
1EHS_A.pdb,19,3.01435,2.584,1.273,5,936,3491,753,832
1EDQ_A.pdb,292,46.3258,39.712,19.564,44,8142,50952,6103,7909
3B3V_A.pdb,161,25.54265,21.896,10.787,33,4280,28539,4618,4122
1H4P_A.pdb,218,34.5857,29.648,14.606,28,6385,37518,3513,6269
1FM4_A.pdb,100,15.865,13.6,6.7,18,2445,16182,2370,2393
1KX5_B.pdb,51,8.09115,6.936,3.417,14,1645,7864,1772,1219
2IVB_A.pdb,85,13.48525,11.56,5.695,15,2439,12666,1794,2337
1C5E_A.pdb,40,6.346,5.44,2.68,8,1371,6263,973,1326
2JFN_A.pdb,156,24.7494,21.216,10.452,20,4129,27117,2651,4041
2ZW0_A.pdb,0,0.0,0.0,0.0,0,879,0,0,0
2QCP_X.pdb,44,6.9806,5.984,2.948,5,1258,7008,551,1197
3ESL_B.pdb,144,22.8456,19.584,9.648,23,3391,23896,2919,3337
1CQW_A.pdb,170,26.9705,23.12,11.39,18,4639,29517,2312,4529
